,popu,area,year
541,11669,東 京 都,1977
542,6616,神奈川県,1977
543,2417,新 潟 県,1977
544,1085,富 山 県,1977
545,1091,石 川 県,1977
546,783,福 井 県,1977
547,792,山 梨 県,1977
548,2048,長 野 県,1977
549,1909,岐 阜 県,1977
550,3368,静 岡 県,1977
551,6052,愛 知 県,1977
552,1649,三 重 県,1977
553,1026,滋 賀 県,1977
554,2474,京 都 府,1977
555,8373,大 阪 府,1977
556,5063,兵 庫 県,1977
557,1124,奈 良 県,1977
558,1080,和歌山県,1977
559,591,鳥 取 県,1977
560,775,島 根 県,1977
561,1840,岡 山 県,1977
562,2689,広 島 県,1977
563,1573,山 口 県,1977
564,813,徳 島 県,1977
565,979,香 川 県,1977
566,1486,愛 媛 県,1977
567,819,高 知 県,1977
568,4411,福 岡 県,1977
569,848,佐 賀 県,1977
570,1582,長 崎 県,1977
571,1747,熊 本 県,1977
572,1207,大 分 県,1977
573,1114,宮 崎 県,1977
574,1747,鹿児島県,1977
575,1071,沖 縄 県,1977
576,115190,全国,1978
577,5490,北 海 道,1978
578,1507,青 森 県,1978
579,1409,岩 手 県,1978
580,2032,宮 城 県,1978
581,1250,秋 田 県,1978
582,1241,山 形 県,1978
583,2012,福 島 県,1978
584,2463,茨 城 県,1978
585,1753,栃 木 県,1978
586,1817,群 馬 県,1978
587,5208,埼 玉 県,1978
588,4508,千 葉 県,1978
589,11659,東 京 都,1978
590,6728,神奈川県,1978
591,2428,新 潟 県,1978
592,1092,富 山 県,1978
593,1100,石 川 県,1978
594,787,福 井 県,1978
595,796,山 梨 県,1978
596,2062,長 野 県,1978
597,1927,岐 阜 県,1978
598,3396,静 岡 県,1978
599,6115,愛 知 県,1978
600,1661,三 重 県,1978
601,1043,滋 賀 県,1978
602,2494,京 都 府,1978
603,8412,大 阪 府,1978
604,5093,兵 庫 県,1978
605,1152,奈 良 県,1978
606,1084,和歌山県,1978
607,595,鳥 取 県,1978
608,779,島 根 県,1978
609,1850,岡 山 県,1978
610,2703,広 島 県,1978
611,1579,山 口 県,1978
612,818,徳 島 県,1978
613,986,香 川 県,1978
614,1493,愛 媛 県,1978
615,824,高 知 県,1978
616,4460,福 岡 県,1978
617,854,佐 賀 県,1978
618,1587,長 崎 県,1978
619,1763,熊 本 県,1978
620,1215,大 分 県,1978
621,1127,宮 崎 県,1978
622,1760,鹿児島県,1978
623,1081,沖 縄 県,1978
624,116155,全国,1979
625,5535,北 海 道,1979
626,1516,青 森 県,1979
627,1416,岩 手 県,1979
628,2059,宮 城 県,1979
629,1254,秋 田 県,1979
630,1247,山 形 県,1979
631,2023,福 島 県,1979
632,2510,茨 城 県,1979
633,1775,栃 木 県,1979
634,1833,群 馬 県,1979
635,5318,埼 玉 県,1979
636,4626,千 葉 県,1979
637,11637,東 京 都,1979
638,6832,神奈川県,1979
639,2439,新 潟 県,1979
640,1098,富 山 県,1979
641,1110,石 川 県,1979
642,791,福 井 県,1979
643,800,山 梨 県,1979
644,2074,長 野 県,1979
645,1943,岐 阜 県,1979
646,3423,静 岡 県,1979
647,6171,愛 知 県,1979
648,1672,三 重 県,1979
649,1061,滋 賀 県,1979
650,2512,京 都 府,1979
651,8445,大 阪 府,1979
652,5119,兵 庫 県,1979
653,1181,奈 良 県,1979
654,1086,和歌山県,1979
655,600,鳥 取 県,1979
656,782,島 根 県,1979
657,1861,岡 山 県,1979
658,2717,広 島 県,1979
659,1583,山 口 県,1979
660,822,徳 島 県,1979
661,993,香 川 県,1979
662,1500,愛 媛 県,1979
663,829,高 知 県,1979
664,4506,福 岡 県,1979
665,860,佐 賀 県,1979
666,1588,長 崎 県,1979
667,1777,熊 本 県,1979
668,1223,大 分 県,1979
669,1141,宮 崎 県,1979
670,1773,鹿児島県,1979
671,1094,沖 縄 県,1979
672,117060,全国,1980
673,5576,北 海 道,1980
674,1524,青 森 県,1980
675,1422,岩 手 県,1980
676,2082,宮 城 県,1980
677,1257,秋 田 県,1980
678,1252,山 形 県,1980
679,2035,福 島 県,1980
680,2558,茨 城 県,1980
681,1792,栃 木 県,1980
682,1849,群 馬 県,1980
683,5420,埼 玉 県,1980
684,4735,千 葉 県,1980
685,11618,東 京 都,1980
